title;body
"
Desarrollador/a Java
";agilesoft es una start-up formada por gente joven, enfocada en el desarrollo de software. somos amantes de la tecnología, con un ambiente laboral entretenido y grato. más que cumplir horarios, trabajamos bajo metas, que nos impulsan a resultados innovadores y de calidad. descripción:trabajamos principalmente desarrollando plataformas web y aplicaciones móviles para grandes empresas. a la vez, tenemos la necesidad de desafiarnos constantemente a mejorar nuestras buenas prácticas y expertise en las diferentes tecnologías emergentes. somos agnósticos a las marcas o productos, amamos la velocidad de transformación y la posibilidad de aprender cada día algo nuevo. funciones del cargo estamos en búsqueda de un desarrollador/a perfil desarrollador java para integrarse a nuestra planta de trabajo de santiago de chile al equipo de arquitectura.el objetivo será mantener los actuales sistemas que posee la empresa, desarrollar nuevas funcionalidades y estándares de desarrollo para todos los equipos de la empresa. además de proponer soluciones y nuevos patrones a nivel de arquitectura tecnológica.es muy importante la motivación por aprender, estar actualizados en tecnologías y autogestión para cumplir con el equipo, los cuales pueden ser diversos y cambiar, por lo que debes estar preparado para un ambiente dinámico, desafiante y divertido para crecer como profesional. requerimientos del cargo - título profesional de ingeniería civil/ejecución en computación/informática.- al menos 1 año de experiencia desarrollando sistemas con java spring boot y/o java 11- experiencia utilizando las siguientes tecnologías:- docker y kubernetes- conocimiento básico utilizando sql- uso de git- conocimiento básico utilizando comandos unix (linux) opcionales - uso de ci/cd- conocimientos en oracle database- desarrollo con .net condiciones -ambiente laboral grato, flexible, entretenido y dinámico.-contrato por proyecto: 3 meses, con posibilidad de extensión según desempeño.-horario de trabajo de lunes a jueves de 09:00 hrs a 18:00 hrs y viernes de 09:00 hrs a 17:00 hrs (flexible).- capacitaciones y certificaciones constantes.- oportunidades de desarrollo y crecimiento laboral.- seguro complementario de salud y dental.- lugar de trabajo: estamos full remoto flexible hours flexible schedule and freedom for attending family needs or personal errands. life insurance agilesoft spa pays or copays life insurance for employees. health coverage agilesoft spa pays or copays health insurance for employees. dental insurance agilesoft spa pays or copays dental insurance for employees. computer provided agilesoft spa provides a computer for your work. remote work policy temporarily remote during covid-19 position is remote only during covid-19-related restrictions.
"
Desarrollador/a Full-Stack
";agilesoft es una start-up formada por gente joven, enfocada en el desarrollo de software. somos amantes de la tecnología, con un ambiente laboral entretenido y grato. más que cumplir horarios, trabajamos bajo metas, que nos impulsan a resultados innovadores y de calidad.descripción:trabajamos principalmente desarrollando plataformas web y aplicaciones móviles para grandes empresas. a la vez, tenemos la necesidad de desafiarnos constantemente a mejorar nuestras buenas prácticas y expertise en las diferentes tecnologías emergentes. somos agnósticos a las marcas o productos, amamos la velocidad de transformación y la posibilidad de aprender cada día algo nuevo. funciones del cargo estamos en búsqueda de un desarrollador/a para integrarse a nuestra planta de trabajo de santiago de chile a una de nuestras células de desarrollo ágil.el objetivo será mantener y desarrollar nuevas funcionalidades de un portal privado de clientes, por lo que necesitamos un perfil con experiencia en es6, estándar que será utilizado a diario.es muy importante la motivación por aprender, estar actualizados en tecnologías y autogestión para cumplir con los objetivos de la célula, los cuales pueden ser diversos y cambiar, por lo que debes estar preparado para un ambiente dinámico, desafiante y divertido para crecer como profesional. requerimientos del cargo - título profesional de ingeniería civil/ejecución en computación/informática.- al menos 1 año de experiencia desarrollando sistemas- experiencia utilizando las siguientes tecnologías:- angular - nodejs- git opcionales experiencia utilizando las siguientes tecnologías:- nestjs- docker condiciones -ambiente laboral grato, flexible, entretenido y dinámico.-contrato por proyecto: 3 meses, con posibilidad de extensión según desempeño.-horario de trabajo de lunes a jueves de 09:00 hrs a 18:00 hrs y viernes de 09:00 hrs a 17:00 hrs (flexible).- capacitaciones y certificaciones constantes.-oportunidades de desarrollo y crecimiento laboral.-seguro complementario de salud y dental.-lugar de trabajo: estamos full remoto por contingencia covid 19 flexible hours flexible schedule and freedom for attending family needs or personal errands. health coverage agilesoft spa pays or copays health insurance for employees. dental insurance agilesoft spa pays or copays dental insurance for employees. computer provided agilesoft spa provides a computer for your work. informal dress code no dress code is enforced. remote work policy temporarily remote during covid-19 position is remote only during covid-19-related restrictions.
"
Teach Lead
";"¡ven a formar parte de bsale!nuestro propósito:""simplificar con creatividad la manera de trabajar y de ésta manera, entregamos tiempo a las personas"".bsale es una plataforma web de venta física y online integral, que centraliza las ventas en un solo lugar. además está diseñado para emitir boleta electrónica y controlar inventario por internet. nos encontramos en chile y en perú. con foco de expandirnos a otras culturas!!.¿a qué equipo estás postulando?estás postulando al equipo de producto, que está compuesto por células de trabajo con grandes desafíos tales como; desarrollar aplicaciones de alta demanda, conectar bsale con otras plataformas, expandir bsale a mercado de otros países, entre muchos desafíos más! ¿te sentiste parte de nuestro propósito?, si tu respuesta es si!!!!¡¡¡esta postulación es para ti!! qué buscamos? una persona cuya principal motivación sea la calidad de los productos técnicos que tenga a su cargo, para lograrlo, liderará y trabajará con distintas células. buscamos una persona apasionada por la tecnología, empática con las necesidades de nuestros clientes, sea flexible y colabore ante situaciones de cambio, que tenga capacidad de análisis, comprensión para diseñar soluciones simples y por sobretodo, de calidad.buscamos 4 habilidades fundamentales:1. entendimiento del negocio2. empatía3. calidad en la gestión de productos4. excelencia en la escritura de códigos, hacer testing, desplegar, monitorear, medir, evaluar, líderar! requerimientos del cargo conocimientos y experiencia: a nivel técnico; manejo tanto de frontend, como de backend, debiendo tener la base de los siguientes conocimientos (excluyentes): frontend: conocimientos comprobables de javascript (ecmascript desde v6), html, css y conexión a una restful api. backend: conocimientos comprobables en manejo y administración de bases de datos mysql/mariadb, construcción y operación de restful api, aws. conocimientos de microservicios experiencia: más de 3 años de experiencia en el área de desarrollo de aplicaciones web, metodologías ágiles y 1 año mínimo liderando equipos.- certificación en metodologías ágiles.- amazon web service opcionales manejo y conocimiento de mongodb y ruby. conditions wellness program bsale offers or subsidies mental and/or physical health activities. flexible hours flexible schedule and freedom for attending family needs or personal errands. internal talks bsale offers space for internal talks or presentations during working hours. life insurance bsale pays or copays life insurance for employees. partially remote you can work from your home some days a week. bicycle parking you can park your bicycle for free inside the premises. health coverage bsale pays or copays health insurance for employees. computer repairs bsale covers some computer repair expenses. dental insurance bsale pays or copays dental insurance for employees. computer provided bsale provides a computer for your work. informal dress code no dress code is enforced. beverages and snacks bsale offers beverages and snacks for free consumption. remote work policy locally remote only position is 100% remote, but candidates must reside in perú."
"
Desarrollador(a) Full-Stack (.NET)
";¡somos entusiastas de la tecnología! 🦾proveemos equipos y especialistas que desarrollan e implementan soluciones ti, acompañando a nuestros clientes a una transformación digital segura. nos dedicamos al desarrollo de software, ciberseguridad y agile teams. nos caracterizamos por ser expertos en la implementación de proyectos con metodologías ágiles, lo que nos ha permitido adaptarnos fácilmente a los cambios y cumplir con los objetivos de nuestros clientes.nuestra cultura ha hecho que creamos en las personas e interacciones por sobre los procesos y herramientas, porque sabemos que la motivación, cooperación y comunicación son esenciales en cada proyecto y, donde algunos ven un problema… ¡nosotros desarrollamos e implementamos una solución! 💛 ¿qué te toca realizar? desarrollar aplicativos web en .net. principalmente te encargarás de poder desplegar y dar soporte. elaborar y/o actualizar la documentación requerida según los procedimientos de documentación establecidos para los programas que se desarrollen o modifiquen. participarás activamente en conjunto al equipo de desarrollo en un proyecto que durará 3 meses el cual se desarrollará para uno de nuestros clientes del rubro tecnológico. ¿qué necesitas saber para postular? .net (excluyente) c# mvc sharepoint onpremise y online conocimientos avanzados en t-sql y pl-sql base de datos slq server y oracle html css3 javascript afax power apps power automate disponibilidad para trabajar de forma mixta sumas puntos si cuentas con experiencia en proyectos con metodología ágil y tradicional versionado de código fuente con git / tfs / azure devops diseño, implementación e integración de servicios: micro servicios, rest, soap, web apis ¿qué tenemos para ti? 🍔tarjeta sodexo💸caja de compensación🚑seguro complementario🍰medio día libre por tu cumpleaños flexible hours flexible schedule and freedom for attending family needs or personal errands. computer provided 3it provides a computer for your work. informal dress code no dress code is enforced. remote work policy temporarily remote during covid-19 position is remote only during covid-19-related restrictions.
"
Technical Lead
";somos un equipo de más de 75 profesionales del área del desarrollo, diseño y consultores ux, que entregamos soluciones tecnológicas para medianas y grandes empresas principalmente de la banca, empresas de seguros e inmobiliarias través de aplicaciones web y móviles.creemos que problemas complejos de negocio, vinculados a la tecnología, se solucionan por medio de construir experiencias digitales simples, intuitivas, innovadoras y que generan gran satisfacción en las personas.para ello, ayudamos a nuestros clientes a resolver estos problemas aportando con disciplinas específicas, como el diseño centrado en el usuario, el diseño de interfaz, la tecnología y la innovación con plataformas emergentes, llevándolos desde la conceptualización hasta la implementación. el perfil tech lead de 2brains el perfil tech lead es un rol que debe poseer liderazgo técnico a través de definir directrices de desarrollo, buenas practicas, calidad de software y exhibir preocupación, curiosidad e innovación en las distintas etapas del ciclo de vida del software. junto a esto, deberá mostrar un alto interés por la mejora continua y compartir el conocimiento, como por una alta capacidad técnica en el manejo de frameworks y lenguajes de programación orientados a una solución de un producto digital.trabajará liderando técnicamente un equipo y con contacto estrecho con el cliente. ¿qué conocimientos buscamos en el/la tech lead? experiencia liderando equipos que trabajen en múltiples tecnologías, especialmente front y back. docker y ambientes dockerizado experiencia en metodologías ágiles deseable: reactjs,nodejs,typescript,docker,nodejs, java (spring boot / weblogic), ci/cd ¿qué competencias buscamos en el/la tech lead? liderazgo y desarrollo de personas. planificación y control. coordinación. orientación a la calidad. curiosidad. comunicación efectiva. te ofrecemos trabajar con un equipo de alto rendimiento, aprendemos y nos desarrollamos juntos un proyecto con foco en los usuarios, visión de ux e integrada al desarrollo acceso a grandes clientes y proyectos desafiantes aprendizaje y crecimiento permanente, organizamos meetups, capacitaciones y actividades culturales un entorno de trabajo flexible y dinámico beneficios especiales: día libre para tu cumpleaños, 4 semanas de vacaciones wellness program 2brains offers or subsidies mental and/or physical health activities. flexible hours flexible schedule and freedom for attending family needs or personal errands. internal talks 2brains offers space for internal talks or presentations during working hours. paid sick days sick leave is compensated (limits might apply). health coverage 2brains pays or copays health insurance for employees. computer provided 2brains provides a computer for your work. informal dress code no dress code is enforced. vacation over legal 2brains gives you paid vacations over the legal minimum. vacation on birthday your birthday counts as an extra day of vacation. remote work policy temporarily remote during covid-19 position is remote only during covid-19-related restrictions.
"
Desarrollador Python
";this job is posted by talentuum on behalf of artool ¡en talentuum nos unimos a pegas con sentido para buscar al mejor desarrollador python para artool!artool es una compañía con el propósito de transformar los datos en acciones concretas que garanticen la mejora de indicadores de producto. tienen más de 50 personas trabajando en pro a la mejora continua de sus servicios y necesitan que se integre alguien organizado, comprometido y con muchas ganas de aprender...¿serás tú la persona que ellos necesitan? ¿cuáles serían tus responsabilidades? 👉 participarás en la cadena de diseño, creación y mantención de código en los distintos proyectos y sistemas de la empresa, en particular en proyectos etls y sistemas de gestión interna.👉 monitorearás las aplicaciones en producción y colaborar en la generación de reportes de rendimiento en aws y gcp. 👉 controlarás el cumplimiento de las políticas internas en relación a la seguridad informática de la empresa.👉 asistirás a la jefatura de informática en tareas de administración y mantenimiento de sistemas. por ello, necesitamos que: 🛠 tengas más de 2 años utilizando python (o en su defecto otro lenguaje de scripting moderno).🛠 estés familiarizado con git.🛠 hayas usado sql (u otra base de datos relacionales). si tienes todo lo anterior, te irá genial. un boost para tu postulación puede ser: que conozcas el mean stack. hayas trabajado con airflow. estás familiarizado con los protocolos de uso de github. condiciones generales 👀 trabajar en artool le dará un boost a tu experiencia profesional y aparte podrás acceder a diversos beneficios y/o condiciones laborales que mejoran constantemente. actualmente, cuentan con: 👉 trabajo 100% remoto (dentro de chile) aún después de la pandemia.👉 acceso a seguro de salud complementario.👉computador de uso laboral.👉horario flexible.👉aguinaldos en fechas especiales (fiestas patrias y navidad). flexible hours flexible schedule and freedom for attending family needs or personal errands. health coverage artool pays or copays health insurance for employees. computer provided artool provides a computer for your work. informal dress code no dress code is enforced. remote work policy locally remote only position is 100% remote, but candidates must reside in chile.
"
Front-end Developer
";webdox es un software que resuelve los desafíos asociados al manejo eficiente de los contratos en grandes empresas. presente en 7 países de latinoamérica, webdox brinda soluciones tecnológicas para la solicitud, redacción, colaboración, negociación, firma y seguimiento de los contratos de sus clientes corporativos y multinacionales, muchos de ellos empresas global fortune 500. funciones del cargo buscamos a nuestro próximo frontend developer experto en react, para integrarse al equipo de tecnología en webdox!¿qué tendrás que hacer en este cargo? desarrollar aplicaciones react, creando pwas complejas y que entienda profundamente las diferentes arquitecturas y patrones para construir apps. asegurar que el código sea de buena calidad siguiendo estándares de clase mundial. impulsar desde su experiencia, mejoras tecnológicas en el equipo. participar de forma transversal en el centro en el soporte al usuario para resolución de problemas, mejoras y optimizaciones a los flujos relacionados a la usabilidad. análisis y definición de requerimientos para miembros del equipo con perfil junior. conocimientos técnicos requeridos: experiencia en desarrollo responsive. fanático de los tests e implementaciones complejas. experiencia con stack completo de frontend html + css + react + integración a api. uso de metodologías ágiles y herramientas de gestión como jira. experiencia en uso de herramientas de versionamiento de código como git habilidades requeridas:. habilidad para crear y diseñar soluciones de la manera más ágil posible. comunicar y documentar el trabajo desarrollado. si cumples con los requisitos, postula! deseable nivel de inglés avanzado beneficios excelente equipo de trabajo5 días de vacaciones adicionales al año100% remotocomputador de última generaciónhorario flexibleseguro de saludpuedes elegir beneficios adicionales, tales como: gym pass, suscripciones a netflix, disney+, spotify, más días libres, copago de estudios, etc. fully remote you can work from anywhere in the world. flexible hours flexible schedule and freedom for attending family needs or personal errands. health coverage webdox pays or copays health insurance for employees. computer provided webdox provides a computer for your work. informal dress code no dress code is enforced. vacation over legal webdox gives you paid vacations over the legal minimum. beverages and snacks webdox offers beverages and snacks for free consumption. remote work policy fully remote candidates can reside anywhere in the world.
"
Senior Python Developer
";this job is posted by dominion on behalf of matterport we are a global services and solutions company with 9,000 employees in more than 38 countries serving more than 1,000 customers. we develop custom software following strict quality standards and agile methodologies.our goal is to maximize the efficiency of processes through the innovative and intelligent application of technology. we work in the fields of technology, telecommunications, industry and energy, and provide services in b2c environments.matterport is the leading spatial data company focused on digitizing and indexing the built world. our all-in-one 3d data platform enables anyone to turn a space into an accurate and immersive digital twin which can be used to design, build, operate, promote, and understand any space.all our work is 100% remote, giving you the greatest possible convenience from wherever you are. job functions coordinating with development teams to determine application requirements. writing scalable code using python programming language. testing and debugging applications. developing back-end components. integrating user-facing elements using server-side logic. assessing and prioritizing client feature requests. integrating data storage solutions. coordinating with front-end developers. reprogramming existing databases to improve functionality. developing digital tools to monitor online traffic. qualifications and requirements 5 years of experience. must have: python javascript angular docker kotlin. ability to integrate multiple data sources into a single system. familiarity with testing tools. ability to collaborate on projects and work independently when required. ecommerce experience is a plus. conditions fully remote you can work from anywhere in the world. computer provided matterport provides a computer for your work. informal dress code no dress code is enforced. remote work policy fully remote candidates can reside anywhere in the world.
"
Full-Stack Developer
";webdox es un software que resuelve los desafíos asociados al manejo eficiente de los contratos en grandes empresas. presente en 7 países de latinoamérica, webdox brinda soluciones tecnológicas para la solicitud, redacción, colaboración, negociación, firma y seguimiento de los contratos de sus clientes corporativos y multinacionales, muchos de ellos empresas global fortune 500. funciones del cargo desarrollar aplicaciones complejas y que entienda profundamente las diferentes arquitecturas y patrones para construir apps. asegurar que el código sea de buena calidad siguiendo estándares de clase mundial. impulsar desde su experiencia, mejoras tecnológicas. participar de forma transversal en el centro en el soporte al usuario para resolución de problemas, mejoras y optimizaciones a los flujos relacionados a la usabilidad. análisis y definición de requerimientos para miembros del equipo con perfil junior. conocimientos técnicos requeridos experiencia en desarrollo bajo framework mvc. fanática/o de los tests e implementaciones complejas. experiencia en desarrollo de aplicaciones en ruby on rails experiencia con stack completo de frontend html + css + react + integración a api. uso de metodologías ágiles y herramientas de gestión como jira. experiencia en uso de herramientas de versionamiento de código como git habilidades requeridas empatía con usuarios. habilidad para crear y diseñar soluciones de la manera más ágil posible. comunicar y documentar el trabajo desarrollado. capacidad de liderazgo y conocimiento de metodologías de ingeniería de software. beneficios un excelente equipo de trabajo, en donde la cultura es el centro de todo y la posibilidad de ser parte de una compañía en crecimiento con muchos desafíos por delante, en crecimiento por latam y usa. fully remote you can work from anywhere in the world. flexible hours flexible schedule and freedom for attending family needs or personal errands. life insurance webdox pays or copays life insurance for employees. health coverage webdox pays or copays health insurance for employees. dental insurance webdox pays or copays dental insurance for employees. computer provided webdox provides a computer for your work. informal dress code no dress code is enforced. vacation over legal webdox gives you paid vacations over the legal minimum. vacation on birthday your birthday counts as an extra day of vacation. remote work policy fully remote candidates can reside anywhere in the world.
"
Desarrollador(a) Full-Stack
";destácame es una plataforma web cuyo fin es ayudar a las personas a entender sus finanzas y acceder a productos financieros de acuerdo con su realidad. en ese sentido aumentamos las probabilidades de las personas de acceder a un crédito o de poder pagar una deuda morosa, reduciendo el estrés de lidiar con el sistema financiero. destácame fue lanzada en 2015 y actualmente opera en chile y méxico ayudando a más de 3.000.000 usuarios, número que crece alrededor de 80.000 al mes. somos un equipo de 90 personas que trabaja día a día implementando nuevos servicios y realizando constantes cambios para que nuestros usuarios tengan la mejor experiencia posible dentro de la plataforma. funciones del cargo te ofrecemos la oportunidad de trabajar con un equipo talentoso, comprometido, multidisciplinario, ágil y capaz de lograr cambios importantes, en donde nos permitimos experimentar con tecnologías nuevas para ofrecerle a nuestros usuarios soluciones que se adapten a su realidad.trabajaras como desarrollador(a) fullstack, bajo vue/nuxt y python/django, generando microservicios para soluciones externas y creando algoritmos de procesamiento de datos relacionales y no relacionaleste damos la oportunidad de que te desarrolles en una empresa con mucha proyección, y ser parte esencial en la toma de decisiones que se realizan día a día: tu opinión contará, y mucho. formarás parte de un equipo multidisciplinario y multinacional, con muchos años de experiencia combinados que cuenta con el manejo de tecnologías de vanguardia, ademas de contar con un ambiente de camaradería sin igual. requerimientos del cargo - manejo de git flow. (~°-°)~- manejo de python.- conocimientos de django.- experiencia manejando angular, react o preferiblemente vue.- preocuparse por entregar productos de calidad.- conocimientos de estructura de datos. deseables - experiencia con servicios de nube (preferible aws, no excluyente)- hambre de conocimientos.- vocación de servicio al usuario.- ser capaz de cuestionar y ofrecer alternativas.- ¡ganas de trabajar con muchos datos xd !.- ¡ganas de cambiar el mundo, una línea de código a la vez!. - sin gusto por pizza con piña (excluyente). ¿por qué trabajar con nosotros? ¡chelas gratis!ahora que tengo tu atención xd... - al segundo año, puedes sumar una cuarta semana de vacaciones! 🌴- tenemos plan de capacitación donde cofinanciamos el perfeccionamiento que necesitas para desarrollarte profesionalmente en el equipo! 📕- flexibilidad para trámites personales, creemos que el trabajo se debe acomodar a la realidad 😉- tarde libre el día de tu cumpleaños 🎈- presupuesto para una actividad mensual con tu área y otras áreas, lo queremos pasar bien! 🍺- concursos y juegos, también talleres temáticos que se van proponiendo según los intereses del equipo 🧩- la oficina sigue disponible si quieres ir. tenemos snacks de frutas y cervezas! 🍊🍻- seguro complementario de salud 🩺- seguro dental 🦷- seguro de vida 🌞- y la oportunidad de formar parte del equipo de tecnología mas cool que jamás hayas conocido 😎 fully remote you can work from anywhere in the world. flexible hours flexible schedule and freedom for attending family needs or personal errands. health coverage destacame.cl pays or copays health insurance for employees. computer provided destacame.cl provides a computer for your work. informal dress code no dress code is enforced. vacation over legal destacame.cl gives you paid vacations over the legal minimum. beverages and snacks destacame.cl offers beverages and snacks for free consumption. remote work policy fully remote candidates can reside anywhere in the world.
"
Tech Lead
";this job is posted by talentuum on behalf of continuum en talentuum queremos ayudar a las empresas a tomarse en serio la innovación y la tecnología de la mano de sus talentos y el valor que aportan como persona a cada equipo. en esta ocasión, buscamos talento para nuestro cliente continuum.continuum es un equipo de personas apasionadas, llenas de motivación y conocimientos con miras a cambiar el mundo a través de servicios digitales, con un enfoque centrado en el usuario y negocio simultáneamente.continuum enfoca sus esfuerzos en 3 verticales: salud, donde tu aporte moverá la aguja en proyectos y desafíos que generen un impacto real en pacientes y personas. banca, donde tus conocimientos resolverán problemáticas complejas en relación al mundo de finanzas, pagos y créditos. educación, que pretende romper los paradigmas que rigen los métodos actuales de enseñanza, innovando desde el aprendizaje. actualmente las contrataciones está en salud. ¿qué harás en continuum? trabajarás en un equipo de producto aportando desde la tecnología para acelerar resultados de negocio e impacto en los usuarios. te moverás entre tecnologías (sin ser necesariamente un/a experta/o en todas) para desarrollar soluciones ajustadas a la medida de cada cliente. interactuarás con equipos multidisciplinarios, clientes y contraparte técnica para darle forma y entregar valor en cada paso, determinando accionables y trabajando desde la autonomía. liderarás y gestionarás a tu equipo desde las etapas más tempranas de un proyecto. necesitan que tú puedas: resolver problemas complejos en tu disciplina utilizando un stack tecnológico completo, considerando testing y calidad de código. de base es necesario nodejs en el back-end y react/vue en el front-end. experiencia en diseño y arquitectura de software, discerniendo entre tecnologías y eligiendo lo mejor para c/proyecto. experiencia gestionando equipos técnicos. sobre continuum ✨ trabajarás en base al sentido común, incluyendo la flexibilidad de horarios y espacios. serás parte de una empresa donde se escuchan tus ideas/opiniones y te dan autonomía dentro de contextos claros. además, te enfocarás en tu trabajo con los clientes de lunes a jueves, mientras que los viernes los usarás para desafíos internos y mejora continua del equipo con diferentes actividades. tendrás 4 semanas de vacaciones (3 consecutivas y 1 repartida durante el año), adicionalmente 1 día libre por tu cumpleaños. en los primeros meses recibirás un computador nuevo para tus labores que en un tiempo podría ser tuyo. continuum copagará tus capacitaciones y podrás acceder a préstamos y otras bonificaciones. hay actividades dentro del equipo que te permitirán socializar y conocer a más medusas, como lecture & beer los viernes. tendrás acceso a betterfly, que ofrece programas de asesoría financiera, salud física y mental. estos son beneficios generales que aplican para chile y perú, si eres de otro país puedes postular pero el acceso a los beneficios variará. wellness program continuum offers or subsidies mental and/or physical health activities. fully remote you can work from anywhere in the world. flexible hours flexible schedule and freedom for attending family needs or personal errands. internal talks continuum offers space for internal talks or presentations during working hours. life insurance continuum pays or copays life insurance for employees. paid sick days sick leave is compensated (limits might apply). health coverage continuum pays or copays health insurance for employees. dental insurance continuum pays or copays dental insurance for employees. computer provided continuum provides a computer for your work. education stipend continuum covers some educational expenses related to the position. fitness subsidies continuum offers stipends for sports or fitness programs. informal dress code no dress code is enforced. vacation over legal continuum gives you paid vacations over the legal minimum. beverages and snacks continuum offers beverages and snacks for free consumption. vacation on birthday your birthday counts as an extra day of vacation. remote work policy fully remote candidates can reside anywhere in the world.
"
Full-Stack Developer 🎯
";this job is posted by talentuum on behalf of continuum en talentuum queremos ayudar a las empresas a tomarse en serio la innovación y la tecnología de la mano de sus talentos y el valor que aportan como persona a cada equipo. en esta ocasión, buscamos talento para nuestro cliente continuum.continuum es un equipo de personas apasionadas con miras a cambiar el mundo a través de servicios digitales, con un enfoque centrado en el usuario y negocio simultáneamente. tiene varias áreas donde ponen sus esfuerzos, entre esas sus ventures.esta necesidad es para una de sus ventures: cforemoto.cforemoto es un venture que tiene la misión de optimizar el manejo de caja para que sus clientes tomen las mejores decisiones financieras, realizando el papel de gerente de finanzas mientras ayuda a analizar la historia financiera y proyectar escenarios futuros con un enfoque centrado al 100% en el usuario final. cuentan con el respaldo de uddventures, start-up chile, villagecapital y continuum.¿interesante? ¡sigue leyendo! ⬇️⬇️⬇️ ¿qué harás junto al equipo de cforemoto? te tocará crear aplicaciones desde cero, por lo que entender y proyectar tus soluciones a futuro es esencial. estarás en un equipo colaborativo y ágil, por lo que podrán a tu disposición la capacitación necesaria sobre el negocio para llevarte al 100%. tus conocimientos en back-end y front-end te ayudarán a abordar desafíos diarios, donde comunicarás a tu equipo oportunamente obstáculos y opiniones respecto a la toma de decisiones para llevar más allá tus soluciones. para postular a cforemoto, tienes que: 🔧 dominar python (django), habiéndolo aplicado de diversos proyectos y soluciones.🔧 tener experiencia utilizando git.​​ 🔧 tener conocimientos en desarrollo front-end y nociones de vue (jest) y bulma (buefy). cforemoto es una start-up, por lo que: 💫 ¡prepárate para el cambio! el objetivo de cforemoto es uno, pero las formas de lograrlo pueden transformarse 💪. si llegas al equipo y tienes una solución en mente, tendrás apoyo y manos a la obra para realizarla sin cohibición ante las iteraciones y modificaciones que pueda sufrir la estructura actual.💫 es esencial la autogestión y proactividad pues todo cambia bastante rápido y tu experiencia será esencial en la evolución del producto.💫 ser una persona comunicativa y curiosa. tu disposición para debatir, opinar, curiosear e investigar activamente para co-crear las soluciones cotidianas, en conjunto con tu equipo, es lo que marcará la diferencia.¡estamos contratando en latam! la única condición es que tu zona horaria difiera 2 horas o menos con respecto a chile (gmt-3). al estar en continuum (dentro de cforemoto), tú: trabajarás en base al sentido común, incluyendo la flexibilidad de horarios y espacios, por lo que es 100% remoto. estarás dentro de cforemoto, con el respaldo de continuum en la contratación, condiciones y beneficios de trabajo. serás parte de una empresa donde se escuchan tus ideas/opiniones y te dan autonomía dentro de contextos claros. te enfocarás en tu trabajo con los clientes de lunes a jueves, mientras que los viernes los usarás para desafíos internos y mejora continua del equipo de cforemoto. tendrás 4 semanas de vacaciones (3 consecutivas y 1 repartida durante el año), adicionalmente 1 día libre por tu cumpleaños. en los primeros meses recibirás un computador nuevo para tus labores que en un tiempo podría ser tuyo. copago del 50% de tus capacitaciones/cursos. afiliación a betterfly, un programa de bienestar financiero, físico y mental. seguro complementario de salud. contrato por tiempo indefinido (no por proyecto). wellness program continuum offers or subsidies mental and/or physical health activities. flexible hours flexible schedule and freedom for attending family needs or personal errands. internal talks continuum offers space for internal talks or presentations during working hours. life insurance continuum pays or copays life insurance for employees. health coverage continuum pays or copays health insurance for employees. dental insurance continuum pays or copays dental insurance for employees. computer provided continuum provides a computer for your work. education stipend continuum covers some educational expenses related to the position. informal dress code no dress code is enforced. vacation over legal continuum gives you paid vacations over the legal minimum. beverages and snacks continuum offers beverages and snacks for free consumption. vacation on birthday your birthday counts as an extra day of vacation. remote work policy locally remote only position is 100% remote, but candidates must reside in latam.
